Teff,xi,muFast,alpha,stdVal,meanVal,u_stdVal,u_meanVal,ur_stdVal,ur_meanVal
4.7745021,0.3047518,0.0389244,0.0008846,0.0404680,0.0353478,0.0207095,0.0010048,0.0915865,0.0300521
5.1967670,0.5520488,0.0970571,0.0007674,0.0382129,0.0239897,0.0562837,0.0247015,0.0932874,0.0437097
3.8701271,0.2951725,0.0799275,0.0008722,0.0435790,0.0367985,0.0409879,0.0157011,0.0961966,0.0366674
4.0524731,0.3211888,0.0967088,0.0007941,0.0440343,0.0338207,0.0561240,0.0229563,0.0881004,0.0425001
3.7571045,0.2333673,0.1028083,0.0007815,0.0493000,0.0402720,0.0591162,0.0217596,0.0889417,0.0459383
3.4701843,0.3684505,0.0470828,0.0008298,0.0347254,0.0269893,0.0227710,0.0017245,0.1176944,0.0074727
4.5403551,0.2639566,0.0723122,0.0008354,0.0457200,0.0428175,0.0377808,0.0118474,0.0777330,0.0414002
4.2549261,0.3240087,0.0928965,0.0005924,0.0436896,0.0333905,0.0533825,0.0230735,0.1359008,0.0488300
4.5511864,0.5706328,0.0791277,0.0010649,0.0317550,0.0176029,0.0425454,0.0189509,0.0876348,0.0442684
4.4216066,0.2927285,0.0748756,0.0009496,0.0445806,0.0420267,0.0384719,0.0151924,0.0909330,0.0493320
4.5194201,0.2334037,0.0739166,0.0006933,0.0478794,0.0461329,0.0384800,0.0126188,0.0845561,0.0451006
4.8079101,0.4101943,0.0567918,0.0004804,0.0342570,0.0307219,0.0307605,0.0061292,0.0872309,0.0337006
2.9927784,0.4443237,0.1127959,0.0008676,0.0418951,0.0220816,0.0599114,0.0252763,0.0794040,0.0460065
5.0430934,0.5045845,0.0879799,0.0008187,0.1678225,0.0421873,0.3282396,0.0553470,0.2986622,0.0536062
4.2607529,0.3384734,0.0909194,0.0009606,0.0431984,0.0355201,0.0525880,0.0232340,0.1083091,0.0469455
4.8406557,0.4641383,0.0978429,0.0008205,0.0381520,0.0254497,0.0572158,0.0241722,0.0907895,0.0459893
3.1445277,0.3932562,0.0732689,0.0008016,0.0332302,0.0230806,0.0363051,0.0088796,0.1922710,0.0126898
3.7537948,0.2863026,0.0441214,0.0005807,0.0422442,0.0340392,0.0217273,0.0023072,0.0655898,0.0189182
4.4874464,0.3399631,0.0476209,0.0008054,0.0387948,0.0329090,0.0239994,0.0017505,0.0800523,0.0184676
